embedding,assigned_group,group_corr_sum,n_pairs,max_corr,group_dataset_support,total_corr_sum,assignment_confidence,support_ratio
emb_420,SYNTACTIC,6.5708,11,0.6990,2,9.6649,0.6799,0.6667
emb_741,SYNTACTIC,7.4241,12,0.7277,2,10.9588,0.6775,0.6667
emb_245,COMPLEXITY,1.0646,2,0.5533,2,1.5762,0.6754,0.6667
emb_311,SYNTACTIC,4.6602,8,0.6880,2,6.9278,0.6727,0.6667
emb_517,SYNTACTIC,1.0977,2,0.5780,2,1.6365,0.6708,0.6667
emb_462,SYNTACTIC,8.3507,14,0.7151,2,12.4530,0.6706,0.6667
emb_147,SYNTACTIC,2.1944,4,0.5783,2,3.2803,0.6690,0.6667
emb_173,SYNTACTIC,2.1979,4,0.5869,2,3.2958,0.6669,0.6667
emb_573,SYNTACTIC,3.6479,6,0.7220,2,5.4731,0.6665,0.6667
emb_90,SYNTACTIC,2.1804,4,0.5598,2,3.2833,0.6641,0.6667
emb_317,SYNTACTIC,3.8844,7,0.5945,2,5.8621,0.6626,0.6667
emb_687,SYNTACTIC,4.3718,8,0.6346,2,6.7662,0.6461,0.6667
emb_75,SYNTACTIC,10.5643,17,0.7765,2,16.4662,0.6416,0.6667
emb_67,SYNTACTIC,2.7628,4,0.7709,2,4.3114,0.6408,0.6667
emb_384,STRUCTURAL,2.3373,4,0.6440,2,3.6686,0.6371,0.6667
emb_159,SYNTACTIC,6.7096,12,0.6188,2,10.5688,0.6348,0.6667
emb_756,STRUCTURAL,1.8741,3,0.7658,2,2.9607,0.6330,0.6667
emb_12,SYNTACTIC,6.3773,10,0.7672,2,10.0994,0.6315,0.6667
emb_57,SYNTACTIC,3.9016,7,0.5909,2,6.2051,0.6288,0.6667
emb_615,SYNTACTIC,7.3761,13,0.6887,2,11.8517,0.6224,0.6667
emb_335,SYNTACTIC,4.8250,8,0.6511,2,7.7747,0.6206,0.6667
emb_259,SYNTACTIC,2.6320,4,0.7208,2,4.2448,0.6201,0.6667
emb_685,LEXICAL,1.6903,3,0.6497,2,2.7431,0.6162,0.6667
emb_40,SYNTACTIC,5.7022,10,0.6944,2,9.2551,0.6161,0.6667
emb_39,SYNTACTIC,6.7607,11,0.8011,2,10.9779,0.6158,0.6667
emb_66,SYNTACTIC,3.8048,6,0.6759,2,6.1892,0.6147,0.6667
emb_212,SYNTACTIC,5.4244,9,0.7325,2,8.8893,0.6102,0.6667
emb_170,STRUCTURAL,1.6806,3,0.5659,2,2.7638,0.6081,0.6667
emb_242,SYNTACTIC,6.5721,11,0.7161,2,10.8197,0.6074,0.6667
emb_651,SYNTACTIC,4.0887,7,0.6291,2,6.7317,0.6074,0.6667
emb_48,SYNTACTIC,7.2593,12,0.7394,2,11.9716,0.6064,0.6667
emb_17,STRUCTURAL,1.9333,3,0.7291,2,3.1905,0.6060,0.6667
emb_492,SYNTACTIC,1.6696,3,0.5634,2,2.7585,0.6053,0.6667
emb_287,SYNTACTIC,2.3553,4,0.6283,2,3.9186,0.6011,0.6667
emb_243,STRUCTURAL,1.7043,3,0.6017,2,2.8395,0.6002,0.6667
